Date,Open,High,Low,Close
20140719,260.83,261.74,260.77,261.66
20140721,261.57,263.19,260.98,261.90
20140722,261.95,262.42,259.72,260.86
20140723,260.86,261.37,260.06,260.49
20140724,260.51,260.57,256.56,257.00
20140725,257.02,258.65,256.77,258.43
20140726,258.43,260.53,258.17,260.24
20140728,260.25,260.42,258.87,259.34
20140729,259.26,260.71,257.77,258.14
20140730,258.13,258.60,256.37,256.74
20140731,256.75,257.57,255.10,255.47
20140801,255.48,257.64,254.25,257.24
20140802,257.24,257.47,256.85,256.85
20140804,256.92,257.51,255.69,255.91
20140805,255.96,256.67,254.50,254.91
20140806,254.86,259.48,254.72,258.61
20140807,258.66,260.23,257.98,259.83
20140808,259.80,261.85,258.25,259.32
20140809,259.38,259.73,259.05,259.64
20140811,259.54,259.60,258.20,258.75
20140812,258.69,260.91,258.43,260.45
20140813,260.46,260.59,258.21,259.19
20140814,259.13,261.06,258.92,259.65
20140815,259.69,260.07,255.55,258.38
20140816,258.53,258.99,257.58,257.80
20140818,257.42,257.53,256.00,256.50
20140819,256.57,257.12,255.51,255.66
20140820,255.67,256.29,255.02,255.60
20140821,255.56,255.78,251.99,252.49
20140822,252.51,253.83,251.83,253.37
20140823,253.42,253.55,252.92,253.31
20140825,252.63,253.45,252.36,252.62
20140826,252.60,255.37,252.29,254.01
20140827,253.96,254.26,253.10,253.45
20140828,253.40,256.11,253.20,254.90
20140829,254.94,255.09,253.50,254.39
20140830,254.33,254.42,253.90,254.30
20140901,254.07,254.76,253.80,254.19
20140902,254.19,254.37,249.65,249.92
20140903,249.92,251.06,249.02,250.34
20140904,250.37,252.10,250.08,250.46
20140905,250.44,251.49,248.18,250.12
20140906,250.16,250.53,249.72,250.52
20140908,250.48,251.12,247.40,247.63
20140909,247.71,248.46,246.71,246.95
20140910,246.88,248.16,245.73,246.16
20140911,246.07,246.59,243.40,244.01
20140912,243.96,244.81,242.26,243.12
20140913,243.09,243.46,242.15,242.79
20140915,241.97,244.52,241.89,243.57
20140916,243.56,245.43,243.29,244.79
20140917,245.18,245.35,243.73,243.77
20140918,243.66,244.65,240.09,242.16
20140919,242.21,242.47,239.83,240.46
20140920,240.52,240.67,239.67,240.41
20140922,239.86,240.86,238.59,240.80
20140923,240.91,243.77,239.69,241.37
20140924,241.36,241.83,239.81,240.12
20140925,240.11,241.51,238.17,240.99
20140926,241.11,242.77,238.82,239.27
20140927,239.21,239.90,239.05,239.84
20140929,239.71,241.96,239.57,240.59
20140930,240.62,240.98,237.75,238.45
20141001,238.33,240.64,237.80,240.29
20141002,240.27,241.28,238.63,240.27
20141003,240.23,240.59,235.09,235.78
20141004,235.66,235.66,234.88,235.27
20141006,234.11,237.60,233.59,237.29
20141007,237.28,239.44,237.11,238.60
20141008,238.69,240.95,238.05,238.27
20141009,238.23,243.06,237.86,241.09
20141010,241.00,241.71,239.97,241.12
20141011,241.07,241.32,240.71,241.11
20141013,242.45,243.83,241.31,242.16
20141014,242.12,243.82,241.78,242.79
20141015,242.76,246.09,240.64,244.98
20141016,245.12,245.77,243.30,244.57
20141017,244.60,244.97,242.51,242.94
20141018,242.92,244.12,242.81,243.73
20141020,243.44,245.85,243.07,245.05
20141021,245.05,247.05,244.89,246.33
20141022,246.33,246.54,244.24,244.48
20141023,244.48,245.11,241.31,241.70
20141024,241.71,242.76,241.64,242.02
20141025,242.02,242.36,241.95,242.17
20141027,241.60,242.32,241.43,241.72
20141028,241.72,242.84,240.44,241.71
20141029,241.71,241.80,239.96,240.33
20141030,240.32,240.90,235.20,235.73
20141031,235.73,236.61,228.32,229.21
20141101,229.21,230.82,228.95,230.33
20141103,230.24,230.88,228.39,229.89
20141104,229.88,230.98,228.95,230.35
20141105,230.35,230.54,223.73,225.66
20141106,225.65,226.63,223.83,225.29
20141107,225.31,229.79,222.60,228.93
20141108,228.92,231.07,228.92,230.55
20141110,232.04,232.04,228.58,229.00
20141111,228.97,229.03,225.52,227.39
20141112,227.39,231.04,227.30,229.52
20141113,229.52,230.10,227.20,228.81
20141114,228.82,232.60,226.04,231.65
20141115,231.67,235.24,230.93,234.14
20141117,233.83,235.43,232.71,233.18
20141118,233.17,237.06,232.71,235.22
20141119,235.22,236.58,231.20,232.16
20141120,232.16,236.12,231.44,234.10
20141121,234.09,237.78,233.76,237.32
20141122,237.33,237.61,234.67,236.25
20141124,236.47,237.44,235.60,236.81
20141125,236.80,237.35,234.93,236.73
20141126,236.72,237.18,235.88,236.64
20141127,236.65,236.77,234.08,235.21
20141128,235.12,235.83,232.76,233.77
20141129,233.71,233.78,230.20,230.78
20141201,229.35,237.47,225.77,236.83
20141202,236.86,241.52,235.78,237.51
20141203,237.56,239.61,236.26,239.54
20141204,239.52,240.25,237.75,239.32
20141205,239.31,239.45,234.67,236.33
20141206,236.30,236.38,235.11,235.48
